age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,school_MS,sex_1,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
-0.043751147,0.0019919989,0.005034914,0.014431922,0.029833134,-0.007682601,0.031506002,-0.027689314,-0.047958415,-0.0023727366,0.0093612475,0.012752868,-0.012868433,0.11590243,-0.017408475,0.03296537,-0.0025892141,0.00028105406,-0.0028704777,0.020830173,0.006610079,0.015754754,0.011203324,0.007351666,0.01398615,-0.021036195,0.028185613,0.005928207,0.020548258,0.016161043,-0.022154685,-0.016008697,0.019692311,-0.008536123,-0.008278751,-0.010573733,-0.009938759,-0.026866913,-0.006082377,0.0013230857
-0.18095946,-0.0024781302,-0.029094681,-0.0781031,0.030945754,-0.17804149,0.03144363,-0.026277669,-0.10106857,0.07467544,0.08216071,-0.0015076476,-0.10677314,0.6432401,-0.03948641,0.038668465,0.01592474,-0.012606916,-0.048210338,-0.010044035,0.012984039,0.12545076,-0.0267644,-0.08097404,0.17071745,-0.006654585,-0.045361105,0.0833571,0.11409147,0.010076098,-0.07137817,-0.14547431,-0.03590305,-0.075986385,0.033660337,-0.13808773,-0.012354065,-0.0002730319,0.08165705,-0.12464158
-0.0050995112,0.0034138593,-5.717622e-05,0.00058641925,0.0017214974,-0.0109742675,0.0008421531,-5.3926487e-05,-0.0072230357,-0.0014996345,0.002723592,-0.0047242832,-0.006786976,0.03449692,0.0013622603,-0.002245487,0.001374481,0.0030106306,-0.0024167513,-0.0051517915,6.30822e-05,0.0031501732,-0.00027571956,-0.0018211561,0.0067489417,-0.00032546837,-0.0032104554,-0.0003614074,0.009103393,0.00334199,-0.00046012842,-0.006118876,-0.00037000404,-0.005189717,-0.0010417335,-0.007495554,-0.00016022171,0.00097357226,0.0046469495,-0.008053995
-0.006686842,0.001008013,0.0009701862,0.00073234306,0.00020176836,-0.010409519,0.000965634,-0.00097183825,-0.0070429556,-8.119887e-05,0.0042668167,-0.0032053732,-0.008093204,0.028357346,0.0007346286,-0.0022058901,0.0015398884,0.0018719528,-0.0011849313,-0.0057431622,-0.00075617526,0.004072755,-0.0012595545,-0.005283501,0.004342152,0.00036245515,-0.0022699463,-0.00024394417,0.006622622,0.0035984882,-0.00071460486,-0.0037637379,0.0002368619,-0.0028050283,-0.0011399516,-0.006445568,-0.00019083696,0.0008881457,0.0036145523,-0.007243544
-0.15201949,0.067291684,-0.014290392,-0.080928646,0.013301979,-0.23695284,-0.0095446035,-0.014887499,-0.10732782,0.049195863,0.06455304,-0.032381967,-0.13765377,0.68712485,0.0058076996,0.034709226,-0.034618296,0.02300528,-0.060997427,0.038094137,0.03898427,0.07910441,-0.026673617,-0.021788111,0.16610503,0.021414172,-0.0151507035,0.074531645,0.13823693,0.011491993,-0.09730539,-0.16536279,-0.091832936,-0.07614821,0.058080204,-0.14124742,-0.007105697,0.0072613973,0.10834779,-0.11136675
-0.1554551,0.019112349,-0.023617676,-0.0465131,0.008200388,-0.11898805,-0.015923511,-0.025389152,-0.081912816,0.073907316,0.0924959,0.027693659,-0.09985523,0.48390722,-0.012591695,0.055340685,-0.026085015,-0.027194355,-0.016453804,0.066136934,0.03850311,0.071624406,-0.027632847,-0.07011841,0.09654586,-0.017165817,0.046504304,0.0626618,0.062948644,0.036402125,-0.10362138,-0.090853676,-0.053079396,0.0021102615,0.070027605,-0.03884443,-0.06855914,0.0049281777,0.029556785,-0.0718587
-0.030503348,0.010162521,0.009856913,0.023342123,0.0036195877,-0.042933952,0.011180523,0.0017724205,-0.05893088,-0.00922102,-0.00046539633,-0.029486313,-0.05136375,0.13623562,0.013044599,-0.00038428465,0.0005560983,0.026507204,-0.005107857,-0.014231511,-0.004769388,0.011589033,-0.0077561378,0.006306587,0.02153552,0.013653031,-0.015798017,-0.0032129518,0.0397031,0.037375912,-0.005036936,0.0013707741,-0.016230986,-0.018399807,-0.01383133,-0.027412895,-0.0069831545,-0.0040399865,0.016243802,-0.022121685
-0.15760899,0.0034538526,0.0013835486,-0.032131612,-0.0427258,-0.13825637,-0.008701656,-0.04308908,-0.06754346,0.07135896,0.09901194,0.028844679,-0.11644172,0.37886336,0.0036218166,0.02891267,-0.03199085,0.001191711,-0.048073187,0.04552201,0.013551145,0.045934416,-0.04659807,-0.06421425,0.056691788,-0.005433144,0.02289301,0.032030698,0.039121993,0.028171241,-0.086870864,-0.0739915,-0.0486658,-0.010017306,-0.0015347978,-0.07859642,-0.010680728,-7.337221e-05,0.039896093,-0.039203722
-0.005441855,0.0011251436,0.00084288145,-3.162655e-06,-0.0013993806,-0.0069261137,0.00031367835,-0.0010527384,-0.0060781753,-6.195146e-05,0.0033190357,-0.001998992,-0.0076736687,0.018103313,0.00083021447,-0.0004621481,-0.0015674026,0.0028811917,-0.0018192884,-0.00087679765,8.1371356e-05,0.0012691002,-0.00036718923,-0.0029645613,0.002464355,0.0027356977,-0.0016012181,0.00064964744,0.007331274,0.002326273,-0.00094997056,-0.0027124512,-0.004262864,-0.0018471328,0.0014536169,-0.003977832,0.0009841251,8.504077e-06,0.003488335,-0.003922763
-0.012123831,0.0040675066,0.0014401345,0.0041145347,0.018377788,-0.0017619113,0.011691263,-0.00068814773,-0.015426716,-0.0017939784,-0.0032215226,0.0011903985,-0.0018827375,0.0588039,-0.0070496877,0.01653171,0.0029007585,-1.742877e-05,0.0051054386,0.0015625887,0.0026180781,0.013984834,0.0063121323,0.0070209196,0.014626119,-0.002321189,0.005683289,0.0107843,0.011873009,0.0029212865,-0.0074931695,-0.010787026,0.005746415,-0.0063371905,0.006265549,-0.0035705431,-0.0059208116,-0.0033597606,0.004098838,-0.007918386
-0.01884093,0.008791902,0.005654778,-0.005526298,-0.0021460725,-0.038422134,0.0029893569,-0.0048653157,-0.027424466,-0.00073997537,0.013799479,-0.008452675,-0.022770157,0.1156394,0.004293392,-0.008003708,0.005558774,0.004494848,-0.006165242,-0.020257493,-0.0031330127,0.01569257,-0.007894142,-0.006991455,0.01807384,0.0051813824,-0.00936984,0.005408416,0.019710753,0.00402435,-0.008296325,-0.0143972,-0.010388095,-0.01392803,0.0027464079,-0.02365926,0.0020062742,0.008234116,0.019024178,-0.029558718
-0.051215675,0.0060665235,-0.033202235,0.023521481,0.055527315,0.044215508,0.045571025,0.050281968,-0.08357154,-0.015286491,0.017000968,-0.028558502,-0.030344393,0.2708646,-0.013304568,0.0038529001,0.05068991,0.01401245,0.008362305,-0.077784754,-0.025532,0.07518759,0.0009295905,-0.002844157,0.06081025,0.009770012,-0.10076621,0.033842854,0.11449694,0.05655857,0.020834964,0.0046240333,-0.022152506,-0.020457974,0.04472447,0.0021595596,-0.035488743,0.012824732,-0.005931729,-0.10996021
-0.11187168,-0.016810253,0.0037746737,0.012096196,-0.020647448,-0.07774512,0.07147083,-0.079733044,-0.12155679,0.0002507232,0.11242013,0.03937106,-0.0705318,0.43147218,-0.04262549,-0.024029307,0.04314997,0.024244994,-0.042813294,-0.074221015,-0.018415425,0.031697314,0.017691862,-0.03156909,0.048778307,0.0017046239,-0.053687353,0.004394003,0.12444408,-0.022330172,-0.01686813,-0.10544102,0.005804142,-0.08809262,-0.018682048,-0.110199064,0.037195154,0.0064628622,0.07089286,-0.11295628
-0.18686597,-0.014814867,-0.035515483,-0.04304207,-0.0157163,-0.14764954,0.039753944,-0.06390336,-0.13694964,0.04599107,0.119199246,0.03781675,-0.13198516,0.56368107,-0.03330558,-0.010313671,0.011103038,0.0009318162,-0.04142584,-0.01906859,0.012186689,0.054660566,-0.027817415,-0.068284504,0.09126284,-0.010847541,-0.04165557,0.03266214,0.103189945,0.032171413,-0.07701087,-0.111035384,-0.018048722,-0.03994246,-0.0025174087,-0.13408358,-0.015300518,0.00016524902,0.04817328,-0.09172545
-0.016300581,0.022239417,0.0036207559,0.0018623695,-0.001314554,-0.037495874,-0.014302297,0.009835873,-0.018354401,-0.0031807749,0.01632772,-0.024769234,-0.033944026,0.13129938,0.018824704,-0.0036169512,-0.0052037314,0.0057130908,-0.012238974,0.00037135603,0.0028566227,0.010518523,-0.007765003,-0.016233612,0.016703058,-0.0036111698,0.00487153,0.0062536816,0.030134253,0.021229168,-0.008736979,-0.011069243,-0.021121914,-0.011123004,0.011731132,-0.010163767,-0.008857713,0.014335544,0.010227561,-0.030524017
-0.044668082,0.009959761,-0.011741539,0.010120205,0.06568309,0.015459625,0.061909594,-0.0035234378,-0.077297315,-0.016958997,0.014565271,0.018370483,0.0050470713,0.22688495,-0.0382066,0.016377924,0.044277318,-0.0014375979,0.025988322,-0.065857194,-0.009845639,0.061862953,0.017445995,0.023307012,0.042738117,-0.0017852975,-0.03940323,0.022780366,0.062747136,0.005840732,-0.0091836555,-0.029473402,0.033743173,-0.009926949,0.029432965,-0.011933811,-0.019923856,-0.00974248,0.0043353997,-0.07431218
-0.1758073,0.09808886,0.0042533614,-0.03578245,0.041071184,-0.2154208,-0.00254149,0.016114395,-0.11403474,0.028688556,0.07126648,-0.0592237,-0.15686634,0.69007224,0.029606257,0.05181191,-0.0431439,0.047937095,-0.066493064,0.01358873,0.019193513,0.10837787,-0.03247787,-0.03484242,0.14072178,0.006798379,-0.013123283,0.05721002,0.17078783,0.06577616,-0.07856053,-0.13024619,-0.07480085,-0.045068152,0.046796475,-0.10971922,-0.0036853552,-0.0096660275,0.07427413,-0.1240024
-9.871426e-05,5.1158928e-05,7.0587266e-06,-2.9005532e-06,1.0256102e-05,-0.00026084666,1.3814879e-05,-8.522144e-06,-0.00018493837,-6.0738e-05,4.9757695e-05,-0.000139353,-0.00018187551,0.0007301854,4.8359274e-05,-9.398947e-05,2.6307134e-05,7.144196e-05,-6.735844e-05,-0.00014512571,-1.1702337e-05,5.236025e-05,-1.9536608e-05,-8.6147076e-05,0.0001303998,1.4730304e-06,-9.161418e-05,-1.6288719e-05,0.00020559109,9.9454264e-05,2.3171182e-05,-8.748409e-05,-4.3228207e-05,-0.0001263409,-3.9899394e-05,-0.00018794798,2.1843385e-05,3.676332e-05,0.00010656465,-0.00016859092
-0.007676023,0.008060155,0.007883531,0.010487228,-0.0029515324,-0.0330369,0.008148228,0.002506062,-0.029540876,-0.0040805405,-0.0013540164,-0.011301879,-0.024269069,0.09445207,0.0044103405,-0.0059967395,0.010372776,0.015783833,0.003925698,-0.02129546,-0.0039060956,0.0074503487,-0.0029339031,0.020108918,0.01905068,0.021801608,-0.019477123,0.004551685,0.019195177,0.00018962007,-0.007544968,-0.014510665,-0.007188132,-0.020539954,-0.0037006899,-0.027249519,0.0007697365,0.010082452,0.027143197,-0.024477841
