raisedhands,VisITedResources,AnnouncementsView,Discussion,gender_M,StageID_MiddleSchool,StageID_lowerlevel,Semester_S,Relation_Mum,ParentAnsweringSurvey_Yes,ParentschoolSatisfaction_Good,StudentAbsenceDays_Under-7,class
10,7,0,30,1,0,1,0,0,0,0,0,0
30,25,5,35,1,0,1,0,0,0,0,0,0
35,12,0,17,1,1,0,0,0,0,0,0,0
50,88,30,80,1,1,0,0,0,1,1,1,1
5,1,0,11,1,0,1,0,0,0,0,0,0
20,14,12,19,1,1,0,0,0,0,0,0,0
62,70,44,60,0,1,0,0,1,0,0,0,1
70,50,40,99,1,1,0,0,1,1,1,1,1
2,0,2,50,1,1,0,0,0,0,0,0,0
0,2,3,70,1,1,0,0,0,1,1,0,0
8,7,30,40,1,1,0,0,0,1,1,0,0
25,15,12,33,1,1,0,0,0,0,0,0,0
35,80,50,70,0,1,0,0,0,1,1,1,1
4,5,40,16,1,1,0,0,0,1,1,0,0
2,19,10,50,0,0,1,0,0,1,1,0,0
8,22,9,40,1,0,1,0,0,0,0,0,0
12,11,8,40,1,1,0,0,0,0,0,0,0
10,12,17,30,1,1,0,0,0,0,0,0,0
8,6,4,22,1,1,0,0,1,1,1,0,0
0,0,0,4,1,1,0,0,0,0,0,0,0
14,13,3,70,0,1,0,0,0,0,0,0,0
10,12,7,33,1,0,0,0,0,1,1,0,0
20,12,15,70,1,1,0,0,0,0,1,0,0
7,10,1,30,1,0,1,0,0,0,0,0,0
70,4,39,90,0,0,0,0,1,1,1,1,1
13,80,40,88,0,0,0,0,1,1,1,1,1
20,14,12,70,0,0,0,0,0,0,0,0,0
39,15,16,50,1,0,0,0,0,0,1,0,0
49,70,19,75,0,0,0,0,1,1,1,1,1
12,50,8,30,1,0,0,0,1,0,0,0,0
16,14,6,20,1,1,0,0,0,1,1,0,0
19,5,4,1,1,1,0,0,0,1,1,0,0
5,2,6,5,1,1,0,0,0,1,1,0,0
21,10,28,20,0,0,1,0,1,0,1,0,0
80,90,70,80,1,0,0,0,1,1,1,1,1
0,5,7,2,1,0,0,0,0,0,0,0,0
13,5,18,19,1,0,0,0,0,0,0,0,0
65,75,23,80,0,0,0,0,1,1,1,1,1
70,69,35,30,0,0,0,0,1,1,1,1,1
